DATE,unemployment_rate,home_price_index,Labor_force,CPI-U,M1,per_con_exp,fed_fund_eff_rate,interest_rate,curr_incircu,Cali_lead_index,Real Disposable Personal Income: Per Capita
1990/1/1,5.9,100.4711925,5864160,132.1,795.4,3730.7,8.23,7,257.126,1.87,27341
1990/2/1,5.6,100.7615717,5891997,133.6,798.1,3728.2,8.24,7,254.662,1.3,27379
1990/3/1,5.4,100.9928379,5902033,134.5,801.5,3754.9,8.28,7,256.69,0.89,27361
1990/4/1,5.5,100.9904097,5863163,134.2,806.1,3770,8.26,7,259.829,0.51,27505
1990/5/1,5.4,100.3945833,5879518,134.6,804.2,3775.8,8.18,7,261.938,0.08,27442
1990/6/1,5.4,100.1110461,5885104,135,808.8,3804.5,8.29,7,265.64,-0.21,27450
1990/7/1,6.2,99.50556922,5911375,135.6,810.1,3821.7,8.15,7,268.948,-0.42,27513
1990/8/1,6.2,99.04618276,5890400,136.3,815.7,3848.3,8.13,7,269.992,-0.88,27306
1990/9/1,6.3,98.42543959,5808385,137.7,820.2,3870.1,8.2,7,273.006,-1.04,27259
1990/10/1,6.2,98.00144608,5816018,138.7,819.9,3870.6,8.11,7,274.365,-1.24,27004
1990/11/1,6.5,97.11387198,5792896,138.9,822.1,3871.9,7.81,7,278.11,-0.94,26980
1990/12/1,6.5,96.54814971,5788666,139.2,824.7,3861.3,7.31,6.79,282.105,-1.2,27106
1991/1/1,7.3,95.56901452,5717427,140,827.2,3841,6.91,6.5,284.909,-0.98,27001
1991/2/1,7.6,94.70420277,5761137,139.9,832.6,3866.7,6.25,6,284.067,-0.71,27013
1991/3/1,7.6,93.77260585,5755312,139.7,838.7,3913,6.12,6,286.319,-0.45,27029
1991/4/1,7.4,93.7417277,5740163,140.7,843.1,3907.1,5.91,5.98,287.681,0.62,27105
1991/5/1,7.9,93.90924694,5726910,140.8,848.8,3933.2,5.78,5.5,288.256,0.99,27080
1991/6/1,8.2,94.06281231,5782157,140.8,856.7,3940.5,5.9,5.5,290.785,1.55,27190
1991/7/1,8.6,94.28456757,5825844,141.5,861.6,3966,5.82,5.5,293.328,1.96,27105
1991/8/1,8.4,94.25830189,5796609,141.7,866.8,3969.1,5.66,5.5,293.76,1.28,27135
1991/9/1,8.4,94.09221156,5782395,142.6,869.7,3984.7,5.45,5.2,294.92,1.18,27177
1991/10/1,8.2,93.87506098,5809967,142.9,878,3976,5.21,5,295.385,0.52,27187
1991/11/1,8.3,93.47021989,5786092,143.5,887.6,4003.6,4.81,4.58,298.719,0.2,27202
1991/12/1,8.4,93.13647828,5767334,143.1,897,4020.5,4.43,4.11,303.696,-0.15,27425
1992/1/1,9.4,92.78692565,5756801,144.3,910.4,4084.7,4.03,3.5,304.146,-0.27,27671
1992/2/1,9.5,92.5712374,5768172,144.9,925.2,4099.5,4.06,3.5,301.542,-0.23,27772
1992/3/1,9.3,91.91146509,5758429,145.5,936.7,4117,3.98,3.5,302.653,0.64,27772
1992/4/1,8.9,91.44047124,5751239,145.8,943.8,4131.5,3.73,3.5,305.007,0.73,27824
1992/5/1,9.5,90.86829045,5749991,146,950.6,4158.4,3.82,3.5,307.8,0.37,27925
1992/6/1,10.2,90.16635477,5805235,146.2,954.3,4177.1,3.76,3.5,310.16,0.71,28012
1992/7/1,10.6,89.48815889,5841467,146.7,963.3,4204.8,3.25,3.02,313.067,0.39,27958
1992/8/1,10.4,88.9281637,5829301,146.9,973.7,4220.9,3.3,3,315.648,0.62,28023
1992/9/1,10.4,88.31917896,5776004,147.4,988,4255.3,3.22,3,318.242,0.9,27860
1992/10/1,9.9,87.35747384,5768172,148.4,1003.7,4284.7,3.1,3,320.192,1.74,27649
1992/11/1,10.1,86.64298371,5763404,148.2,1015.7,4300.5,3.09,3,323.607,1.58,27662
1992/12/1,9.9,85.81559288,5741490,148.2,1024.9,4336.4,2.92,3,329.93,1.68,28618
1993/1/1,10.7,85.24629519,5683744,149.2,1030.4,4340.7,3.02,3,331.004,2.49,27966
1993/2/1,10.6,84.66070467,5714970,150,1033.5,4355.3,3.03,3,329.032,2.22,28073
1993/3/1,10.2,83.61611477,5695641,149.8,1038.4,4352.5,3.07,3,331.423,2.36,27959
1993/4/1,9.8,82.79206094,5665863,149.9,1047.6,4393.4,2.96,3,335.24,1.96,28075
1993/5/1,9.8,82.04289904,5672246,150.1,1065.9,4422.4,3,3,337.874,2.39,28005
1993/6/1,10.1,81.42818087,5692818,149.7,1075.1,4440,3.04,3,342.488,1.94,27923
1993/7/1,10.4,80.56679607,5741098,149.8,1084.6,4468.9,3.06,3,346.518,1.93,27961
1993/8/1,9.9,79.48271274,5713167,149.9,1094.2,4481.1,3.03,3,347.99,2.31,27968
1993/9/1,9.8,79.04525862,5646392,150.2,1104.2,4511.5,3.09,3,350.609,1.9,27860
1993/10/1,9.9,78.38241194,5641699,150.9,1113.1,4532.8,2.99,3,353.161,2.14,27694
1993/11/1,9.5,78.23052404,5615205,151.6,1124.1,4554.1,3.02,3,355.65,2.09,27744
1993/12/1,9.2,77.57221362,5615108,151.9,1129.6,4571.1,2.96,3,361.769,1.85,28662
1994/1/1,10.4,77.39505181,5615955,152.2,1131.6,4585.1,3.05,3,363.472,2.25,28101
1994/2/1,10.1,77.44437859,5637127,152.2,1136.3,4632.6,3.25,3,363.041,2.75,28132
1994/3/1,9.8,77.26265128,5616950,152.5,1140.1,4646,3.34,3,366.398,2.73,28198
1994/4/1,9.5,77.08542367,5601926,152,1141.1,4671.1,3.56,3,370.681,2.43,28171
1994/5/1,9.1,76.66513195,5607267,151.4,1143.3,4669.5,4.01,3.24,373.253,2.39,28468
1994/6/1,9.4,76.43503397,5615951,151.3,1145.2,4708.9,4.25,3.5,378.375,2.35,28392
1994/7/1,9.9,76.40982861,5662161,151.7,1150.7,4720.6,4.26,3.5,383.478,2.42,28385
1994/8/1,9.5,76.40972254,5653959,152,1150.6,4762.6,4.47,3.76,384.194,2.51,28387
1994/9/1,8.9,76.43433569,5630163,152.7,1151.9,4775,4.73,4,386.5,2.93,28480
1994/10/1,8.4,76.54724475,5659815,153.4,1150.2,4812.9,4.76,4,388.615,2.74,28721
1994/11/1,8,76.46888715,5635929,152.9,1150.9,4825.6,5.29,4.4,393.215,2.93,28693
1994/12/1,7.6,76.39423565,5609261,153.4,1150.7,4841.6,5.45,4.75,398.322,3.25,28797
1995/1/1,8.5,76.37638923,5569725,154.3,1151.4,4851.2,5.53,4.75,400.687,2.51,28865
1995/2/1,7.9,76.02272701,5604300,154.5,1147.4,4850.8,5.92,5.25,396.37,1.89,28898
1995/3/1,7.8,75.77565159,5587691,154.6,1146.7,4885.4,5.98,5.25,399.817,0.61,28952
1995/4/1,7.9,75.35666549,5596012,154.7,1149.3,4890.2,6.05,5.25,404.773,0.48,28711
1995/5/1,7.7,75.11777659,5574477,155.1,1145.3,4933.1,6.01,5.25,408.007,1.14,28974
1995/6/1,8,74.55546599,5594956,154.8,1144.2,4977.5,6,5.25,409.062,1.27,29030
1995/7/1,8.8,74.50003718,5652342,154.5,1145.5,4970.2,5.85,5.25,411.218,1.41,29064
1995/8/1,8.5,74.2803678,5631073,154.4,1145.4,5005.3,5.74,5.25,410.193,2.4,29051
1995/9/1,8.4,74.19116631,5629868,154.6,1142,5020.5,5.8,5.25,411.158,2.49,29113
1995/10/1,8.1,74.08742553,5647634,155.2,1137.3,5013.9,5.76,5.25,411.562,1.65,29115
1995/11/1,8.2,74.02906751,5624164,154.4,1134.1,5055.6,5.8,5.25,413.359,2.12,29169
1995/12/1,7.9,73.93694589,5611949,154.6,1127.5,5097.5,5.6,5.25,418.814,2.15,29185
1996/1/1,9,73.91998918,5579289,155.7,1123.5,5085.7,5.56,5.24,418.642,2.47,29202
1996/2/1,8.6,73.84378117,5614743,156.2,1118.5,5132.8,5.22,5,412.776,1.5,29404
1996/3/1,8.5,73.85540325,5626799,157.3,1122.6,5173.3,5.31,5,415.61,1.98,29472
1996/4/1,8.3,73.85737182,5597847,157.7,1124.8,5208,5.22,5,418.346,2.15,29267
1996/5/1,8.2,73.99548239,5623585,157.5,1116.5,5223.8,5.24,5,419.321,2.52,29609
1996/6/1,8.1,74.15439578,5620819,156.7,1115.2,5229.8,5.27,5,423.212,2.38,29757
1996/7/1,8.9,74.11319864,5704916,157.6,1112.4,5251.9,5.4,5,427.991,2.31,29647
1996/8/1,8,74.04838734,5682108,157.3,1101.6,5275,5.22,5,429.307,3.11,29689
1996/9/1,7.8,73.99947215,5703390,158.2,1096.2,5296.6,5.3,5,431.945,2.47,29725
1996/10/1,7.6,74.18013077,5726209,158.8,1085.7,5328.5,5.24,5,432.318,2.24,29691
1996/11/1,7.6,74.41817272,5724108,158.4,1083.5,5351.2,5.31,5,436.408,2.01,29742
1996/12/1,7.2,74.51555366,5712367,158.3,1081.3,5378.6,5.29,5,443.041,1.42,29817
1997/1/1,8,74.53688361,5697983,159.1,1081.2,5411.1,5.25,5,444.684,1.79,29877
1997/2/1,7.6,74.40240725,5723548,159.2,1078.8,5434,5.19,5,440.803,2.28,29935
1997/3/1,7.3,74.79060446,5761678,159.8,1072.5,5454.2,5.39,5,443.188,3.15,30050
1997/4/1,6.8,75.2726918,5746408,159.9,1063.9,5459.3,5.51,5,445.724,3.06,30043
1997/5/1,6.6,75.76476194,5757937,159.5,1063.8,5460.2,5.5,5,448.445,2.55,30146
1997/6/1,7,76.19281468,5772048,159.4,1066.1,5494.2,5.56,5,451.597,2.39,30211
1997/7/1,7.3,76.54269976,5858650,159.5,1065.5,5548.8,5.52,5,455.553,1.93,30291
1997/8/1,7,77.16443952,5864082,159.7,1075.3,5587,5.54,5,456.212,1.88,30412
1997/9/1,6.8,77.55531435,5854376,160.5,1066.9,5601.7,5.54,5,458.926,1.99,30458
1997/10/1,6.3,78.23305835,5866858,161.1,1065.6,5637.7,5.5,5,459.988,2.42,30577
1997/11/1,6.1,78.89130985,5881432,160.7,1070.9,5661.1,5.52,5,465.886,1.88,30745
1997/12/1,6,79.90761184,5915063,161.2,1072.3,5692.1,5.5,5,475.1,2.29,30894
1998/1/1,6.7,81.03503708,5897393,161,1074,5689.9,5.56,5,474.597,2.2,31139
1998/2/1,6.4,82.19181168,5938802,161.1,1077.8,5723.8,5.51,5,471.366,1.5,31312
1998/3/1,6.6,83.65321759,5969789,161.4,1076.9,5750.3,5.49,5,473.547,1.33,31465
1998/4/1,6,84.39878813,5921643,161.8,1076.5,5788.1,5.45,5,475.776,1.21,31534
1998/5/1,6.1,85.39577778,5934200,162.3,1079.1,5837.9,5.49,5,478.588,1.71,31632
1998/6/1,6.6,86.44541836,5940860,162.2,1076.3,5871.7,5.56,5,481.339,1.87,31780
1998/7/1,7.1,87.85152232,6014262,162.1,1075.1,5890,5.54,5,485.205,1.87,31803
1998/8/1,6.9,88.93477937,5989135,162.6,1075.9,5925,5.55,5,487.758,1.87,31871
1998/9/1,6.9,90.08424997,6018545,162.6,1079.9,5965.6,5.51,5,492.11,1.85,31931
1998/10/1,6.7,90.77409985,6015406,163.2,1086,5998.8,5.07,4.86,496.28,2.13,31945
1998/11/1,6.3,91.29391235,6029877,163.4,1094.9,6015.4,4.83,4.63,501.453,2.38,32047
1998/12/1,6,91.78123481,6003731,163.5,1095,6070.5,4.68,4.5,509.949,2.26,32080
1999/1/1,6.5,92.14008625,5982732,164.2,1098.1,6073.9,4.63,4.5,511.037,2.11,32230
1999/2/1,6.3,92.71811851,6007558,164.6,1096.7,6099.2,4.76,4.5,509.743,2.24,32319
1999/3/1,5.9,93.38405497,6010884,165,1096.6,6133,4.81,4.5,514.41,2.22,32325
1999/4/1,5.8,94.38407186,5982739,166.6,1101.6,6199.5,4.74,4.5,519.339,2.37,32195
1999/5/1,5.4,95.23315472,5985989,166.2,1103.8,6232.1,4.74,4.5,522.494,1.96,32225
1999/6/1,5.9,96.02552777,6002072,165.4,1099.8,6260.3,4.76,4.5,528.507,2.25,32306
1999/7/1,6.4,96.64867112,6079736,165.8,1099.1,6287.6,4.99,4.5,533.772,2,32338
1999/8/1,6.1,97.17484698,6052517,166.3,1099.2,6331.9,5.07,4.56,535.749,2.02,32444
1999/9/1,6,97.67920952,6069856,167.2,1096.5,6386.5,5.22,4.75,541.305,1.78,32373
1999/10/1,5.8,98.328701,6084525,167.2,1103.3,6411.4,5.2,4.75,550.011,1.64,32522
1999/11/1,5.6,99.2387032,6096494,167.1,1110.7,6448.7,5.42,4.86,565.429,1.88,32706
1999/12/1,5.3,100.3296484,6112018,167.3,1122.2,6541,5.3,5,595.97,1.82,32931
2000/1/1,5.8,101.0312093,6096647,167.9,1122.1,6542.9,5.45,5,594.679,1.41,33119
2000/2/1,5.7,102.0434064,6134192,169.3,1108.6,6625.3,5.73,5.24,566.144,1.45,33222
2000/3/1,5.5,103.2246994,6126045,170.7,1107.5,6686.5,5.85,5.34,563.705,1.7,33284
2000/4/1,5.2,104.159399,6118860,170.6,1115.6,6679.1,6.02,5.5,564.734,1.44,33426
2000/5/1,5.4,104.9246979,6095254,171.1,1104.9,6709.7,6.27,5.71,565.836,1.52,33537
2000/6/1,5.5,105.6934072,6134716,171,1102.6,6746.9,6.53,6,568.333,1.37,33599
2000/7/1,6,106.3246874,6149158,171.7,1103.5,6768.5,6.54,6,571.216,1.8,33746
2000/8/1,5.9,106.9666327,6155482,172.2,1100.2,6802.8,6.5,6,569.313,1.91,33920
2000/9/1,5.4,107.8867871,6161998,173.3,1099.7,6888.6,6.52,6,570.677,2.25,33924
2000/10/1,5.1,108.8086567,6170263,173.8,1098.7,6893.8,6.51,6,571.48,2.27,33985
2000/11/1,4.9,109.9839187,6190409,173.5,1092.4,6909.8,6.51,6,575.002,1.88,33965
2000/12/1,4.6,110.7160052,6213437,173.5,1088.6,6952.2,6.4,6,583.118,2.01,34001
2001/1/1,5.4,112.0314763,6225136,174.2,1096.7,6987.4,5.98,5.52,585.106,1.39,34151
2001/2/1,5,112.9028992,6256110,175.4,1101.2,7001.8,5.49,5,582.524,0.76,34166
2001/3/1,5.1,114.1784971,6273329,176.2,1108.9,6996.7,5.31,4.81,585.082,0.38,34228
2001/4/1,5,114.6367963,6234294,176.6,1116.7,7004.2,4.8,4.28,587.928,0.18,34100
2001/5/1,4.9,115.2573894,6180859,177.5,1118.5,7052.8,4.21,3.73,590.873,0.06,33988
2001/6/1,5.6,115.7346117,6184653,178.9,1126.2,7069.7,3.97,3.47,594.37,0.25,33954
2001/7/1,6.1,116.3756329,6229881,178.3,1138.9,7082.3,3.77,3.25,600.387,-0.4,34420
2001/8/1,6.3,117.3585197,6206800,178.4,1150.2,7121.7,3.65,3.16,606.133,-0.2,34953
2001/9/1,6.1,118.3400899,6239154,178.8,1205.7,7007,3.07,2.77,613.558,-0.37,34622
2001/10/1,6.4,119.3156596,6267773,178.3,1165.7,7212.9,2.49,2.02,615.01,-0.42,33984
2001/11/1,6.4,120.3032059,6284576,178.1,1171,7182.3,2.09,1.58,621.87,-0.42,33995
2001/12/1,6.4,121.2896199,6284845,177.1,1183.2,7166.7,1.82,1.33,630.276,0.05,34028
2002/1/1,7.1,122.706507,6233945,178.9,1190.7,7184.6,1.73,1.25,635.429,0.65,34707
2002/2/1,6.8,123.9895209,6304440,180.1,1190.6,7225.2,1.74,1.25,635.884,1.16,34735
2002/3/1,6.9,125.456074,6290701,181.1,1193.3,7243.4,1.73,1.25,639.698,1.85,34734
2002/4/1,6.8,126.8519023,6248700,182.2,1186.9,7312.5,1.75,1.25,643.58,2.17,34827
2002/5/1,6.6,128.6919862,6221197,182.6,1189.3,7288.9,1.75,1.25,648.293,1.95,34941
2002/6/1,7.1,130.7723062,6222757,181.9,1193.3,7322.5,1.75,1.25,654.774,1.74,35018
2002/7/1,7.4,132.8587182,6274222,182.2,1199.1,7387.3,1.73,1.25,660.96,1.74,34902
2002/8/1,7.1,135.0852203,6252083,183,1187.1,7412.6,1.74,1.25,660.558,1.31,34882
2002/9/1,6.7,137.2367332,6279732,183.4,1196.1,7391.5,1.75,1.25,662.189,1.55,34892
2002/10/1,6.5,139.7231012,6295253,183.7,1204,7435.2,1.75,1.25,662.238,2.06,34964
2002/11/1,6.6,141.8243802,6289515,184,1209.6,7463.8,1.34,0.83,667.444,1.36,35031
2002/12/1,6.5,143.9820567,6287720,183.7,1220.2,7519.9,1.24,0.75,676.472,1.32,35090
2003/1/1,7.1,145.7524012,6251910,185.2,1227.3,7541.3,1.24,2.25,679.411,1.75,35015
2003/2/1,6.9,147.3087562,6299148,186.5,1238.2,7548.6,1.26,2.25,679.832,1.81,34867
2003/3/1,6.7,148.8817391,6296763,188.2,1239.3,7611.5,1.25,2.25,683.413,1.71,34925
2003/4/1,6.6,150.4855638,6274547,187.6,1250,7634.5,1.26,2.25,687.055,1.07,35105
2003/5/1,6.7,152.2882892,6241294,186.4,1268.8,7650.3,1.26,2.25,690.521,1.49,35353
2003/6/1,7.4,154.0628841,6274776,186.3,1281,7699.6,1.22,2,691.954,1.91,35428
2003/7/1,7.7,157.0161429,6296345,186.3,1287.5,7757,1.01,2,694.257,1.53,35826
2003/8/1,7.4,160.1046741,6268660,186.9,1296.4,7852.1,1.03,2,694.696,1.57,36043
2003/9/1,7.2,163.588262,6260095,188.2,1297.2,7853.7,1.01,2,697.699,2.32,35605
2003/10/1,7,167.0564489,6294003,187.8,1297.8,7867.4,1.01,2,700.706,3.11,35711
2003/11/1,6.9,170.7570386,6302227,187.1,1299.1,7922.6,1,2,706.305,2.86,35899
2003/12/1,6.4,174.7845747,6280665,187,1306.2,7950.4,0.98,2,716.191,2.16,35903
2004/1/1,7,178.7737515,6280595,188.5,1306,8007.1,1,2,713.752,2.66,35860
2004/2/1,6.7,182.9149483,6310786,190.1,1321.4,8040.4,1.01,2,713.25,2.25,35901
2004/3/1,6.8,188.7866715,6306130,191.5,1328.7,8098.8,1,2,713.923,1.83,36020
2004/4/1,6.4,194.5002819,6282930,191.9,1332.8,8107.2,1,2,716.778,1.88,36117
2004/5/1,6.4,199.737764,6265544,193.3,1333.3,8176.5,1,2,719.679,2,36273
2004/6/1,6.8,205.2786714,6288890,193.7,1342.7,8157.6,1.03,2.25,726.437,2.03,36273
2004/7/1,7,209.2972524,6353662,193.4,1340.8,8236.9,1.26,2.25,734.828,2.49,36332
2004/8/1,6.5,211.1491605,6311988,193.1,1354.3,8271.6,1.43,2.5,734.62,2.73,36422
2004/9/1,6.3,212.7178219,6308355,194.5,1362.5,8341.5,1.61,2.75,738.149,2.55,36417
2004/10/1,6.1,213.8687123,6347875,196.3,1362.3,8397.1,1.76,2.75,740.816,2.82,36407
2004/11/1,6,216.0223248,6376972,196.9,1374.2,8444.5,1.93,3,746.581,2.31,36276
2004/12/1,5.7,218.1291417,6356692,195.2,1376,8504.4,2.16,3.25,753.395,2.1,37591
2005/1/1,6,221.4713603,6306757,195.4,1367.1,8497.7,2.28,3.25,750.197,1.82,36199
2005/2/1,5.9,225.2073545,6356997,197.4,1371.1,8559.1,2.5,3.5,750.39,2.17,36199
2005/3/1,5.5,229.746946,6340833,199.2,1370.9,8598.4,2.63,3.75,752.083,2.47,36312
2005/4/1,5.2,233.443607,6360740,201.1,1358.4,8678.4,2.79,3.75,753.66,2.78,36403
2005/5/1,5.1,237.105497,6341730,201.5,1366,8671.6,3,4,754.184,2.53,36537
2005/6/1,5.3,240.58339,6352139,200.7,1380.1,8753.4,3.04,4.25,759.996,2.61,36591
2005/7/1,5.6,244.2626212,6402168,201.4,1369,8853.8,3.26,4.25,763.847,2.36,36609
2005/8/1,5.2,248.2838595,6389183,203.1,1377.8,8850.1,3.5,4.5,763.347,1.82,36636
2005/9/1,5.1,252.8411185,6388518,205.8,1378.6,8900.4,3.62,4.75,767.94,1.81,36465
2005/10/1,4.9,257.7432482,6411456,206.9,1376.5,8938.5,3.78,4.75,768.814,1.31,36617
2005/11/1,5.1,261.6632472,6422665,205.6,1376.1,8946.2,4,5,774.619,1.76,36817
2005/12/1,4.8,265.4191155,6408963,203.9,1374.3,8981.1,4.16,5.25,783.336,2.19,36918
2006/1/1,5.1,268.2088347,6360106,206,1379.5,9071.6,4.29,5.5,786.823,2.17,37297
2006/2/1,5.1,271.2338275,6406579,207.5,1378.4,9096,4.49,5.5,785.378,1.7,37454
2006/3/1,4.7,272.0844618,6406809,208.5,1383.2,9132.9,4.59,5.75,788.916,1.31,37576
2006/4/1,4.5,273.0894288,6389134,210.5,1381.4,9191.6,4.79,5.75,790.544,1.22,37530
2006/5/1,4.5,272.9307953,6360069,212.4,1387.2,9231.8,4.94,6,794.306,1.04,37475
